"Energy","CPS","Spectrum"
"211",4.212789,1.04305602660711,"blackdiamond"
"212",4.2328499,1.00580402565685,"blackdiamond"
"213",4.2529108,0.994628425371778,"blackdiamond"
"214",4.2729717,1.06168202708223,"blackdiamond"
"215",4.2930326,1.06540722717726,"blackdiamond"
"216",4.3130935,1.02443002613198,"blackdiamond"
"217",4.3331544,0.976002424896651,"blackdiamond"
"218",4.3532153,1.03933082651208,"blackdiamond"
"219",4.3732762,1.02070482603696,"blackdiamond"
"220",4.3933371,0.964826824611575,"blackdiamond"
"221",4.413398,0.856796021855838,"blackdiamond"
"222",4.4334589,0.987178025181727,"blackdiamond"
"223",4.4535198,1.11756002850762,"blackdiamond"
"224",4.4735807,1.01697962594193,"blackdiamond"
"225",4.4936416,1.04305602660711,"blackdiamond"
"226",4.5137025,1.05050642679716,"blackdiamond"
"227",4.5337634,1.05050642679716,"blackdiamond"
"228",4.5538243,0.9685520247066,"blackdiamond"
"229",4.5738852,1.02443002613198,"blackdiamond"
"230",4.5939461,1.00580402565685,"blackdiamond"
"231",4.614007,0.92012442347127,"blackdiamond"
"232",4.6340679,0.812093620715534,"blackdiamond"
"233",4.6541288,1.06540722717726,"blackdiamond"
"234",4.6741897,0.849345621665788,"blackdiamond"
"235",4.6942506,0.856796021855838,"blackdiamond"
"236",4.7143115,0.87169682223594,"blackdiamond"
"237",4.7343724,0.912674023281219,"blackdiamond"
"238",4.7544333,0.882872422521016,"blackdiamond"
"239",4.7744942,0.82326922100061,"blackdiamond"
"240",4.7945551,0.867971622140915,"blackdiamond"
"241",4.814616,0.786017220050356,"blackdiamond"
"242",4.8346769,0.901498422996143,"blackdiamond"
"243",4.8547378,0.875422022330965,"blackdiamond"
"244",4.8747987,0.916399223376244,"blackdiamond"
"245",4.8948596,0.905223623091168,"blackdiamond"
"246",4.9149205,0.864246422045889,"blackdiamond"
"247",4.9349814,0.856796021855838,"blackdiamond"
"248",4.9550423,0.942475624041422,"blackdiamond"
"249",4.9751032,0.782292019955331,"blackdiamond"
"250",4.9951641,0.767391219575229,"blackdiamond"
"251",5.015225,0.786017220050356,"blackdiamond"
"252",5.0352859,0.786017220050356,"blackdiamond"
"253",5.0553468,0.767391219575229,"blackdiamond"
"254",5.0754077,0.733864418720001,"blackdiamond"
"255",5.0954686,0.730139218624975,"blackdiamond"
"256",5.1155295,0.771116419670254,"blackdiamond"
"257",5.1355904,0.711513218149848,"blackdiamond"
"258",5.1556513,0.771116419670254,"blackdiamond"
"259",5.1757122,0.67798641729462,"blackdiamond"
"260",5.1957731,0.849345621665788,"blackdiamond"
"261",5.215834,0.756215619290153,"blackdiamond"
"262",5.2358949,0.808368420620508,"blackdiamond"
"263",5.2559558,0.745040019005077,"blackdiamond"
"264",5.2760167,0.733864418720001,"blackdiamond"
"265",5.2960776,0.819544020905585,"blackdiamond"
"266",5.3161385,0.722688818434924,"blackdiamond"
"267",5.3361994,0.875422022330965,"blackdiamond"
"268",5.3562603,0.681711617389645,"blackdiamond"
"269",5.3763212,0.804643220525483,"blackdiamond"
"270",5.3963821,0.815818820810559,"blackdiamond"
"271",5.416443,0.972277224801625,"blackdiamond"
"272",5.4365039,0.782292019955331,"blackdiamond"
"273",5.4565648,0.849345621665788,"blackdiamond"
"274",5.4766257,0.815818820810559,"blackdiamond"
"275",5.4966866,0.830719621190661,"blackdiamond"
"276",5.5167475,0.77484161976528,"blackdiamond"
"277",5.5368084,0.640734416344366,"blackdiamond"
"278",5.5568693,0.789742420145381,"blackdiamond"
"279",5.5769302,0.741314818910051,"blackdiamond"
"280",5.5969911,0.789742420145381,"blackdiamond"
"281",5.617052,0.748765219100102,"blackdiamond"
"282",5.6371129,0.692887217674722,"blackdiamond"
"283",5.6571738,0.715238418244874,"blackdiamond"
"284",5.6772347,0.663085616914518,"blackdiamond"
"285",5.6972956,0.819544020905585,"blackdiamond"
"286",5.7173565,0.700337617864772,"blackdiamond"
"287",5.7374174,0.741314818910051,"blackdiamond"
"288",5.7574783,0.610932815584163,"blackdiamond"
"289",5.7775392,0.718963618339899,"blackdiamond"
"290",5.7976001,0.700337617864772,"blackdiamond"
"291",5.817661,0.767391219575229,"blackdiamond"
"292",5.8377219,0.685436817484671,"blackdiamond"
"293",5.8577828,0.659360416819493,"blackdiamond"
"294",5.8778437,0.741314818910051,"blackdiamond"
"295",5.8979046,0.707788018054823,"blackdiamond"
